,loss,train_accuracy_history,_accuracy_history
0,0.22231516862750206,0.9324448529411765,0.9594944267515924
1,0.07152149138991218,0.9775615409207161,0.9625796178343949
2,0.048487329519713476,0.9832360933503836,0.9601910828025477
3,0.035975793370982403,0.9883511828644501,0.9578025477707006
4,0.02492886823063116,0.9917279411764706,0.9612858280254777
5,0.02240921586563321,0.9925071930946292,0.9527269108280255
6,0.019524385206471467,0.993546195652174,0.9556130573248408
7,0.018442746678479206,0.9936460997442456,0.9604896496815286
8,0.02134666055560891,0.9932265025575447,0.9623805732484076
9,0.013665249107031586,0.9959838554987213,0.9667595541401274
10,0.017503787033308845,0.993985773657289,0.9525278662420382
11,0.014238198561089373,0.9954044117647058,0.9601910828025477
12,0.012120672135499676,0.9958240089514067,0.9572054140127388
13,0.013257715670211638,0.9957440856777494,0.9593949044585988
14,0.01233943011444967,0.9961836636828645,0.9559116242038217
15,0.011650689893991754,0.9960038363171355,0.9588972929936306
16,0.009400316095283894,0.9968030690537084,0.9608877388535032
17,0.011197544303574555,0.9966032608695652,0.9592953821656051
18,0.012102285665205366,0.9957440856777494,0.9457603503184714
19,0.009378363975076838,0.9968630115089514,0.9624800955414012
20,0.007658974987424864,0.9977221867007673,0.9572054140127388
21,0.010898018183437755,0.9964234335038363,0.9598925159235668
22,0.0072925094254016045,0.9977022058823529,0.9547173566878981
23,0.008350461861761601,0.9973025895140665,0.9609872611464968
24,0.009060881714348074,0.9972226662404092,0.9501393312101911
25,0.007566817932232149,0.9976622442455243,0.9591958598726115
26,0.009018167455126989,0.9973825127877238,0.9597929936305732
27,0.00805698241147137,0.9974024936061381,0.9573049363057324
28,0.0074968910423504126,0.9973025895140665,0.9515326433121019
29,0.009491762573230061,0.9969229539641944,0.9527269108280255
30,0.0069389258660079636,0.9977621483375959,0.9562101910828026
31,0.004701923083314603,0.9985613810741688,0.9561106687898089
32,0.006197981550458816,0.9980418797953964,0.9592953821656051
33,0.009480773224580857,0.9972626278772379,0.9546178343949044
34,0.006762897397725969,0.9977821291560103,0.9612858280254777
35,0.007319304952624967,0.9977221867007673,0.9607882165605095
36,0.006163330969696097,0.9979419757033248,0.9621815286624203
37,0.0061420794761203705,0.9979419757033248,0.9566082802547771
38,0.006423361524578344,0.9981617647058824,0.9527269108280255
39,0.005758934263580242,0.9983615728900256,0.95203025477707
40,0.00601663108197041,0.998261668797954,0.9631767515923567
41,0.007352109537834594,0.9976422634271099,0.9572054140127388
42,0.0049722076652969896,0.9984614769820972,0.9574044585987261
43,0.007988671042653259,0.9976822250639387,0.9594944267515924
44,0.004569382302723594,0.9985214194373402,0.9562101910828026
45,0.006328222688250633,0.9980218989769821,0.9624800955414012
46,0.003918679730920985,0.9989609974424553,0.9547173566878981
47,0.004480847180952192,0.9986612851662404,0.958797770700637
48,0.0075032935632479425,0.997582320971867,0.9546178343949044
49,0.005403730129751762,0.998261668797954,0.9571058917197452
50,0.0064071442374442344,0.9978820332480819,0.9543192675159236
51,0.001367344922603007,0.9995404411764706,0.9646695859872612
52,0.006812634316433653,0.997582320971867,0.9590963375796179
53,0.005702201468951214,0.9981617647058824,0.960390127388535
54,0.0036828141398922167,0.9988411125319693,0.9599920382165605
55,0.004910619511104849,0.9983016304347826,0.9586982484076433
56,0.005417316298024073,0.9982217071611253,0.9583001592356688
57,0.002845118101717176,0.9992007672634271,0.9619824840764332
58,0.006409645939338751,0.9981617647058824,0.9574044585987261
59,0.004921318143466436,0.9984414961636828,0.9543192675159236
60,0.0035237928459153412,0.9988411125319693,0.9556130573248408
61,0.006178466926863258,0.9980618606138107,0.9580015923566879
62,0.0005127924394021756,0.999880115089514,0.966062898089172
63,2.570391622508568e-05,1.0,0.9683519108280255
64,1.2237172258154369e-05,1.0,0.9685509554140127
65,8.328012030777669e-06,1.0,0.9685509554140127
66,5.8065643272171686e-06,1.0,0.9686504777070064
67,4.075377892981416e-06,1.0,0.9688495222929936
68,2.8638748472192563e-06,1.0,0.9688495222929936
69,2.008679864708922e-06,1.0,0.96875
70,1.4027534877279014e-06,1.0,0.9688495222929936
71,9.746063140702688e-07,1.0,0.9689490445859873
72,6.756438253319175e-07,1.0,0.9691480891719745
73,4.6570503218928416e-07,1.0,0.9695461783439491
74,3.1576291608149585e-07,1.0,0.9694466560509554
75,2.0957345662342647e-07,1.0,0.96984474522293
76,1.3705194200321044e-07,1.0,0.96984474522293
77,8.998331172424992e-08,1.0,0.9697452229299363
78,5.985708917212142e-08,1.0,0.9696457006369427
79,4.028980585276003e-08,1.0,0.9696457006369427
80,2.736801193385634e-08,1.0,0.9691480891719745
81,1.8769360476330976e-08,1.0,0.9694466560509554
82,1.2833670087994287e-08,1.0,0.9693471337579618
83,8.920210899145475e-09,1.0,0.9694466560509554
84,6.169118019212931e-09,1.0,0.9694466560509554
85,4.301709400028168e-09,1.0,0.9697452229299363
86,3.001192657563734e-09,1.0,0.9696457006369427
87,2.084161581878832e-09,1.0,0.9697452229299363
88,1.3981747021884895e-09,1.0,0.9696457006369427
89,9.694328876169111e-10,1.0,0.9696457006369427
90,7.07424001163013e-10,1.0,0.9697452229299363
91,4.644703052121859e-10,1.0,0.9699442675159236
92,3.144106672939842e-10,1.0,0.9699442675159236
93,2.0007951476341653e-10,1.0,0.9697452229299363
94,1.1194925322078088e-10,1.0,0.9696457006369427
95,8.09845664527204e-11,1.0,0.9696457006369427
96,5.2401778284585415e-11,1.0,0.9697452229299363
97,3.811038441347631e-11,1.0,0.9699442675159236
98,2.858278831010723e-11,1.0,0.9699442675159236
99,2.858278831010723e-11,1.0,0.96984474522293
